FundingOrgName,ProjectReference,LeadROName,Department,ProjectCategory,PISurname,PIFirstName,PIOtherNames,PI ORCID iD,StudentSurname,StudentFirstName,StudentOtherNames,Student ORCID iD,Title,StartDate,EndDate,AwardPounds,ExpenditurePounds,Region,Status,GTRProjectUrl,ProjectId,FundingOrgId,LeadROId,PIId,fullname
ESRC,ES/J500161/1,University of Southampton,"Sch of Economic, Social & Political Sci",Training Grant,,,,,,,,,University of Southampton ESRC Doctoral Training Centre DTG 2011,2011-01-10,2011-01-10,8164941.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=ES/J500161/1,DA6E63AD-3902-4D2A-BC42-0930990BBF1B,924BE15C-91F2-4AAD-941A-3F338324B6AE,30A429E3-83B7-4E41-99C0-14A144F07DFE,,
EPSRC,EP/K00509X/1,University of Southampton,School of Chemistry,Research Grant,Nelson,Philip Arthur,,,,,,,University of Southampton - Equipment Account,2012-12-19,2012-12-19,8139098.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=EP/K00509X/1,3C89526D-AC7C-4638-AB8F-DAFB5E025F0A,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,0BF66707-4B41-495D-8B85-9873A32A5FC1,
EPSRC,EP/I01196X/1,University of Southampton,Optoelectronics Research Centre,Research Grant,Payne,David,Neil,,,,,,Transforming the Internet Infrastructure: The Photonic HyperHighway,2010-01-11,2010-01-11,7288967.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/I01196X/1,D454767F-8A6E-4D96-85F2-8D834FA2CA84,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,0E50F983-2283-4E4F-AECA-050EACBCE395,"Payne, David Neil"
NERC,NE/L002531/1,University of Southampton,School of Ocean and Earth Science,Training Grant,,,,,,,,,SPITFIRE - the Southampton Partnership for Innovative Training of Future Investigators Researching the Environment,2014-01-10,2014-01-10,7107478.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=NE/L002531/1,8646D60A-E33E-4A99-9C42-CFE0B2B73C69,8A03ED41-E67D-4F4A-B5DD-AAFB272B6471,30A429E3-83B7-4E41-99C0-14A144F07DFE,,
EPSRC,EP/D076617/1,University of Southampton,Electronics and Computer Science,Research Grant,De Roure,David,,,,,,,OMII-UK Centre and Managed Programme,2006-01-07,2006-01-07,6778372.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/D076617/1,A22BE66D-6DB2-4041-A0D3-CE582BEE1F51,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,AC23FEDF-B8E8-46CB-BEA0-3C2933633B40,
EPSRC,EP/G03690X/1,University of Southampton,School of Chemistry,Training Grant,Essex,Jonathan,Wynne,,,,,,A Doctoral Training Centre in Complex Systems Simulations,2009-01-10,2009-01-10,6531178.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/G03690X/1,AC55D13D-99BC-4A1C-B922-570F6F04A280,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,8E511BA3-7D94-4342-B4FF-BAB70DE19E63,"Essex, Jonathan Wynne"
EPSRC,EP/N035437/1,University of Southampton,School of Chemistry,Research Grant,Bartlett,Philip,,,,,,,ADEPT - Advanced Devices by ElectroPlaTing,2016-07-20,2016-07-20,6331951.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=EP/N035437/1,298D0527-9FC2-4FC3-BB6C-E98B87024FF9,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,E3AA8B7C-9F09-4FCD-AD90-2FFD91E4755C,
EPSRC,EP/R024642/1,University of Southampton,Optoelectronics Research Centre (ORC),Research Grant,Prodromakis,Themis,,http://orcid.org/0000-0002-6267-6909,,,,,Functional Oxide Reconfigurable Technologies (FORTE): A Programme Grant,2018-01-04,2018-01-04,6295974.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=EP/R024642/1,C413FA38-6BAB-4148-A381-C37055FEE73D,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,4ABE9703-ED00-4575-ACAF-4B4605F1D02E,
ESRC,ES/F035098/1,University of Southampton,School of Social Sciences,Research Grant,Sturgis,Patrick,,,,,,,National Centre for Research Methods - Hub (Second Term),2009-01-04,2009-01-04,6285815.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=ES/F035098/1,ECEC597C-A8A9-4BA3-A19C-DE8286FA41C7,924BE15C-91F2-4AAD-941A-3F338324B6AE,30A429E3-83B7-4E41-99C0-14A144F07DFE,7C4500BE-CC69-41D5-9BCF-E50FF0D9CD02,
EPSRC,EP/J017728/1,University of Southampton,Electronics and Computer Science,Research Grant,Shadbolt,Nigel,,,,,,,SOCIAM: The Theory and Practice of Social Machines,2012-01-06,2012-01-06,6219058.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/J017728/1,C63452D0-CE20-4836-9932-8CC055719EA7,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,DD984418-4B95-4136-9B9C-7BC27A968522,
EPSRC,EP/P030181/1,University of Southampton,Optoelectronics Research Centre (ORC),Research Grant,Richardson,David,John,,,,,,AirGuide Photonics,2017-01-06,2017-01-06,6160545.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=EP/P030181/1,431E3488-34F7-4CC2-8207-6F2D30D5E277,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,3A138F39-F12F-4522-84DE-A13E155535B9,"Richardson, David John"
EPSRC,EP/L00044X/1,University of Southampton,Optoelectronics Research Centre (ORC),Research Grant,Reed,Graham,Trevor,,,,,,Silicon Photonics for Future Systems,2013-12-12,2013-12-12,6009330.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=EP/L00044X/1,B866C9C0-E0FA-418B-8F98-04C5CAC31EE6,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,02D5CFFB-806B-4E52-B077-9D60D6ACA6EC,"Reed, Graham Trevor"
EPSRC,EP/G036926/1,University of Southampton,Sch of of Electronics and Computer Sci,Training Grant,Hall,Wendy,,,,,,,Doctoral Training Centre in Web Science,2009-01-10,2009-01-10,5996355.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/G036926/1,7593DE81-D0FA-4720-ACE5-64D0152A1AC3,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,BC2A85EB-F9CB-475D-BCD8-4BCC24787CDD,
EPSRC,EP/S024298/1,University of Southampton,Sch of of Electronics and Computer Sci,Training Grant,,,,,,,,,UKRI Centre for Doctoral Training in Machine Intelligence for Nano-electronic Devices and Systems,2019-01-04,2019-01-04,5820891.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=EP/S024298/1,632D5B57-A5E1-434E-AEE6-71EEB26AA107,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,,
EPSRC,EP/K034448/1,University of Southampton,Sch of of Electronics and Computer Sci,Research Grant,Al-Hashimi,Bashir M.,,,,,,,"PRiME: Power-efficient, Reliable, Many-core Embedded systems",2013-05-13,2013-05-13,5656177.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/K034448/1,3DBD0EC0-865B-4982-B0C9-28A6128FC07A,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,BCD5FFD8-8300-422E-9F5B-C10C854C3C0B,
EPSRC,EP/I011587/1,University of Southampton,Electronics and Computer Science,Research Grant,Jennings,Nick,,,,,,,HUMAN-AGENT COLLECTIVES: FROM FOUNDATIONS TO APPLICATIONS [ORCHID],2011-01-01,2011-01-01,5537002.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/I011587/1,E200D524-27CD-4675-B743-4B1DF537E1C6,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,6BFA4E79-9131-41F4-8BB5-0F2969B17516,
NERC,NE/P021093/1,University of Southampton,Sch of Geography & Environmental Sci,Research Grant,Sheffield,Justin,,,,,,,GCRF - Building REearch Capacity for sustainable water and food security In drylands of sub-saharan Africa (BRECcIA)&quot;,2017-01-10,2017-01-10,5481342.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=NE/P021093/1,0FAD7942-519F-40E4-BC33-64766F23E95D,8A03ED41-E67D-4F4A-B5DD-AAFB272B6471,30A429E3-83B7-4E41-99C0-14A144F07DFE,B7E54DBF-302C-4CBB-A4E4-1449767854B2,
EPSRC,EP/M508147/1,University of Southampton,Research and Innovation Services,Training Grant,,,,,,,,,DTP - University of Southampton,2015-01-10,2015-01-10,5427139.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/M508147/1,E0E221D7-F149-412B-BE8A-5EA6EA03B014,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,,
ESRC,ES/G027153/1,University of Southampton,School of Social Sciences,Research Grant,Falkingham,Jane,Cecelia,,,,,,Centre for Population Change: Understanding Population Change in the 21st Century,2009-01-01,2009-01-01,5388177.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=ES/G027153/1,57DDC930-8DE7-4541-AD20-5FF7F1A393D9,924BE15C-91F2-4AAD-941A-3F338324B6AE,30A429E3-83B7-4E41-99C0-14A144F07DFE,4B02EAE7-68CA-4EFD-9129-3F40A56CF54D,"Falkingham, Jane Cecelia"
ESRC,ES/K007394/1,University of Southampton,"Sch of Economic, Social & Political Sci",Research Grant,Falkingham,Jane,Cecelia,,,,,,Centre for Population Change,2014-01-01,2014-01-01,5388048.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=ES/K007394/1,27010E41-B9D6-46FC-A715-7DF327C99D58,924BE15C-91F2-4AAD-941A-3F338324B6AE,30A429E3-83B7-4E41-99C0-14A144F07DFE,4B02EAE7-68CA-4EFD-9129-3F40A56CF54D,"Falkingham, Jane Cecelia"
EPSRC,EP/K503150/1,University of Southampton,Research and Innovation Services,Training Grant,,,,,,,,,DTA - University of Southampton,2012-01-10,2012-01-10,5360521.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/K503150/1,86BD1032-3599-4027-A8C5-6FF4DB1AD4DD,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,,
ESRC,ES/L008351/1,University of Southampton,"Sch of Economic, Social & Political Sci",Research Grant,Durrant,Gabriele,B.,,,,,,National Centre for Research Methods 2014-2019,2014-12-31,2014-12-31,5278574.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=ES/L008351/1,604433C5-2ED0-4016-B752-AFF8F8A63FCB,924BE15C-91F2-4AAD-941A-3F338324B6AE,30A429E3-83B7-4E41-99C0-14A144F07DFE,1A327D15-9549-47AD-8439-33817C25399A,"Durrant, Gabriele B."
EPSRC,EP/L505067/1,University of Southampton,Research and Innovation Services,Training Grant,,,,,,,,,DTA - University of Southampton,2013-01-10,2013-01-10,5272437.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/L505067/1,D756C0E7-2AAF-4FC2-B0A3-B642FE641D15,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,,
EPSRC,EP/M025276/1,University of Southampton,Faculty of Engineering & the Environment,Research Grant,Powrie,William,,,,,,,"The science and analytical tools to design long life, low noise railway track systems",2015-01-06,2015-01-06,5193337.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=EP/M025276/1,19DBD0DD-0D09-4E3B-B066-4137441F876D,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,389A3135-6CF2-41C4-B4FD-FD3CE0D400C9,
EPSRC,EP/I033394/1,University of Southampton,School of Chemistry,Research Grant,Bartlett,Philip,,,,,,,Complex Nanostructures by Supercritical Fluid Electrodeposition,2011-01-06,2011-01-06,5140372.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/I033394/1,6C97AC86-1088-42B0-A501-D745E76DDFCF,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,E3AA8B7C-9F09-4FCD-AD90-2FFD91E4755C,
EPSRC,EP/H02607X/1,University of Southampton,Optoelectronics Research Centre,Research Grant,Payne,David,Neil,,,,,,EPSRC Centre for Innovative Manufacturing in Photonics,2010-01-07,2010-01-07,5124641.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/H02607X/1,F3A54F9D-60ED-4289-B41A-209E839340A1,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,0E50F983-2283-4E4F-AECA-050EACBCE395,"Payne, David Neil"
EPSRC,EP/M025330/1,University of Southampton,School of Physics and Astronomy,Research Grant,Lagoudakis,Pavlos,,,,,,,Hybrid Polaritonics,2015-06-10,2015-06-10,5123946.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=EP/M025330/1,9BB48390-B3AD-41FF-98F3-06DBA692E31C,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,02042194-8CFA-434C-949B-D5D0BB4BE89C,
EPSRC,EP/G060363/1,University of Southampton,Optoelectronics Research Centre,Research Grant,Zheludev,Nikolay,,,,,,,NANOSTRUCTURED PHOTONIC METAMATERIALS,2010-01-01,2010-01-01,5043274.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/G060363/1,2C9FE99B-1F5A-47FB-A510-0E90ABDA124F,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,69678F23-E8B9-4B1D-9A43-3D254FC9C227,
EPSRC,EP/M50662X/1,University of Southampton,Research and Innovation Services,Training Grant,,,,,,,,,DTA - University of Southampton,2014-01-10,2014-01-10,5016491.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/M50662X/1,4EE3D69F-4D18-4062-A246-42088E86B5A9,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,,
EPSRC,EP/N031768/1,University of Southampton,Sch of of Electronics and Computer Sci,Research Grant,Brown,Andrew,David,,,,,,Event-based parallel computing - partially ordered event-triggered systems (POETS),2016-12-05,2016-12-05,4981301.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=EP/N031768/1,BDB7C907-869E-40BF-BAF8-E6980EFAABE5,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,9C3D3ED8-F9D4-4A23-88AA-F5472EAA8B15,"Brown, Andrew David"
EPSRC,EP/G036896/1,University of Southampton,Faculty of Engineering & the Environment,Training Grant,Powrie,William,,,,,,,Industrial Doctorate Centre: Transport and the Environment,2009-01-10,2009-01-10,4960273.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/G036896/1,0657ACE5-0A44-4A4C-9E3E-BED529945D7B,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,389A3135-6CF2-41C4-B4FD-FD3CE0D400C9,
EPSRC,NS/A000058/1,University of Southampton,School of Chemistry,Other Grant,Coles,Simon,John,http://orcid.org/0000-0001-8414-9272,,,,,EPSRC UK National Crystallography Service,2016-10-31,2016-10-31,4680553.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=NS/A000058/1,3568A9AF-8C58-48DA-8C2A-001946F42507,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,185A0130-5003-45C5-9BC8-23AB1D555817,"Coles, Simon John"
EPSRC,NS/A000012/1,University of Southampton,School of Chemistry,Other Grant,Coles,Simon,John,http://orcid.org/0000-0001-8414-9272,,,,,EPSRC UK National X-Ray Crystallography Service,2010-01-05,2010-01-05,4559886.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=NS/A000012/1,344F7413-0902-421B-AB77-518113C2F4C6,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,185A0130-5003-45C5-9BC8-23AB1D555817,"Coles, Simon John"
Innovate UK,900023,University of Southampton,,Study,Withnall,Izabela,,,,,,,SETsquared: Identifying and commercialising university research (ICURe),2014-01-08,2014-01-08,4500000.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=900023,CF210FA2-4070-4152-8BF7-AD1F352E4427,05923FEC-036B-4EA9-8068-0AD5AE082931,30A429E3-83B7-4E41-99C0-14A144F07DFE,0730B5EE-FED3-4573-B0E8-370B6B963813,
EPSRC,EP/R009953/1,University of Southampton,Faculty of Engineering & the Environment,Research Grant,Scanlan,James,,,,,,,"CASCADE (Complex Autonomous aircraft Systems Configuration, Analysis and Design Exploratory)",2018-01-02,2018-01-02,4448295.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=EP/R009953/1,B6268146-C79A-4F14-AF65-C849E793F379,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,97C472D5-6593-47C6-B55E-C2EE01EEF64C,
EPSRC,EP/M009122/1,University of Southampton,Optoelectronics Research Centre (ORC),Research Grant,Zheludev,Nikolay,,,,,,,The Physics and Technology of Photonic Metadevices and Metasystems,2015-01-10,2015-01-10,4434223.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=EP/M009122/1,86655D62-9713-4466-B3CF-E0334E61D012,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,69678F23-E8B9-4B1D-9A43-3D254FC9C227,
EPSRC,EP/J500537/1,University of Southampton,Finance,Training Grant,,,,,,,,,DTA - University of Southampton,2011-01-10,2011-01-10,4406396.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/J500537/1,13FA603C-C868-4A6F-957E-D53429318E84,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,,
EPSRC,EP/P503841/1,University of Southampton,Finance,Training Grant,Speake,Jill,,,,,,,DTA - University of Southampton,2007-01-10,2007-01-10,4070922.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/P503841/1,BC552E5A-8FDD-4C35-A561-1F271565D2F3,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,EB6FE96B-B63A-4930-92B8-B981F82E2A2E,
EPSRC,EP/L015382/1,University of Southampton,Faculty of Engineering & the Environment,Training Grant,,,,,,,,,EPSRC Centre for Doctoral Training in Next Generation Computational Modelling,2014-01-04,2014-01-04,3992775.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=EP/L015382/1,5C68664F-29D4-4E3B-B757-426D5FAF2A29,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,,
EPSRC,EP/D080207/1,University of Southampton,Faculty of Engineering & the Environment,Research Grant,Powrie,William,,,,,,,Copy of RRUK 2: Universities' Centre for Rail Systems Research,2006-07-09,2006-07-09,3974001.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/D080207/1,8BCBA603-1F60-41B2-8D61-A2AC9093CD16,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,389A3135-6CF2-41C4-B4FD-FD3CE0D400C9,
EPSRC,EP/P505119/1,University of Southampton,Finance,Training Grant,Speake,Jill,,,,,,,DTA - University of Southampton,2009-01-10,2009-01-10,3935625.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/P505119/1,5C7AE038-3FDB-4FDB-BFA0-943727B61EF6,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,EB6FE96B-B63A-4930-92B8-B981F82E2A2E,
EPSRC,EP/P502756/1,University of Southampton,Finance,Training Grant,Speake,Jill,,,,,,,DTA - University of Southampton,2006-01-10,2006-01-10,3844282.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/P502756/1,2F467239-61EF-461A-9279-7F723D76FD2B,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,EB6FE96B-B63A-4930-92B8-B981F82E2A2E,
EPSRC,EP/P505739/1,University of Southampton,Finance,Training Grant,,,,,,,,,DTA - University of Southampton,2010-01-10,2010-01-10,3753137.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/P505739/1,86D89DFC-6D4A-46FE-B456-DE462792A7DA,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,,
EPSRC,EP/L016117/1,University of Southampton,Sch of of Electronics and Computer Sci,Training Grant,,,,,,,,,EPSRC Centre for Doctoral Training in Web Science Innovation,2014-01-10,2014-01-10,3677507.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=EP/L016117/1,528213D2-57B3-4469-964B-01C863DDDC68,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,,
EPSRC,EP/P504740/1,University of Southampton,Finance,Training Grant,Speake,Jill,,,,,,,DTA - University of Southampton,2008-01-10,2008-01-10,3305625.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/P504740/1,7CF93DA8-2E30-45DD-97BA-C9ED26E6DAA4,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,EB6FE96B-B63A-4930-92B8-B981F82E2A2E,
EPSRC,EP/E041965/1,University of Southampton,Faculty of Engineering & the Environment,Research Grant,Powrie,William,,,,,,,Science and strategies for the long-term management and remediation of landfills,2006-01-12,2006-01-12,3305495.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/E041965/1,6E0BDCA0-8156-4B7B-9C5D-472874ED50F2,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,389A3135-6CF2-41C4-B4FD-FD3CE0D400C9,
EPSRC,EP/F034296/1,University of Southampton,Faculty of Engineering & the Environment,Research Grant,Nelson,Philip Arthur,,,,,,,The Centre for Advanced Tribology at Southampton,2008-01-04,2008-01-04,3204588.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/F034296/1,FBDB60BF-8062-4C44-9483-52967D7C4C54,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,0BF66707-4B41-495D-8B85-9873A32A5FC1,
