fullname,Department,aggregate funding
"Towheed, Syed Shafquat",Faculty of Arts and Social Sci (FASS),237521.0
"Sanders, Valerie Ruth",Humanities,236552.0
"Rice, Stephen James",Faculty of Humanities,235309.0
"Vickers, Peter John",Philosophy,235123.0
"Ferguson, Julia Miller",Research and Enterprise Office,234845.0
"Banks, Joseph Caxton","Sch of Social Sci, Humanities & Language",234484.0
"McInnes, Colin John",International Politics,233945.0
"Gordon, Frederick Bruce",History,232630.0
"Watt, John William",Religious and Theological Studies,231373.0
"Plumley, Yolanda Meritxell",Centre for Medieval Studies,231359.0
"Routledge, Bruce Edward",Archaeology Classics and Egyptology,231020.0
"Williamson, Tom Matthew",History,230675.0
"Glendinning, Hugo Frederic",Drama,230369.0
"Meadows, Andrew Robert",Classics Faculty,229284.0
"Cleminson, Richard Mark",School of Modern Languages and Cultures,228325.0
"Sales, Rosemary Ann",School of Law,227881.0
"Millett, Martin John",Classics,227373.0
"Williams, Alexander John",Sch of Design,226719.0
"Tillotson, Jennifer Ruth",Central Saint Martin's College,225828.0
"Mazel, Aron David",School of Arts and Cultures,225508.0
"Brigstocke, Julian John",Cardiff School of Planning and Geography,225426.0
"French, Steven Richard",Sch of Philosophy,224065.0
"Gready, Paul Richard",Centre for Applied Human Rights,222315.0
"Shaw, Philip John",English,219812.0
"Zeshan, Ulrike Andrea",Int Inst for Sign Lang and Deaf Studies,219543.0
"Keegan-Phipps, Simon Geoffrey",Music,219285.0
"Taberner, Stuart James",School of Modern Languages and Cultures,218191.0
"Chitnis, Rajendra Anand",School of Modern Languages,217286.0
"Davison, Jonathan William",Faculty,216247.0
"Glynn, Ruth Sarah",School of Modern Languages,214653.0
"Mackey, Sally Patricia",Faculty,214257.0
"Bryan-Kinns, Nicholas Johnathan",Sch of Electronic Eng & Computer Science,214020.0
"Payne, Leigh Ann",Sociology,213407.0
"Dillon, Brian Gerard",Sch of English,212913.0
"Macduff, Colin Neil",School of Design,212466.0
"Crouch, Joseph Anthony",Faculty of Humanities,212152.0
"Keiger, John Frederick",Politics and International Studies,212019.0
"Reid, Colin Turriff",Law,211879.0
"Oldfield, Jonathan Duncan",School of Social & Political Sciences,211223.0
"Rees, Gethin Powell",Collections and Curation,209418.0
"Ansari, Ali Massoud",History,207763.0
"Turrell, Jessica Beth",Fac of Arts Creative Ind and Education,206141.0
"Thacker, Andrew John",Sch of Arts and Humanities,204154.0
"Staelens, Yvette Julia",Faculty of Science and Technology,203632.0
"Prizeman, Oriel Elizabeth",Welsh School of Architecture (ARCHI),203351.0
"Edelman, Joshua Andrew",School of Art,203344.0
"Grierson, Michael Stuart",Music,202718.0
"Smithies, James Dakin",King's Ditigal Laboratory,202516.0
"Harland, Robert George",Creative Arts,202384.0
"Butler, Beverley Jane",Institute of Archaeology,202340.0
"McCabe, Helen Ruth",Sch of Politics & International Relation,202329.0
"Eissa Barroso, Francisco Antonio",Arts Languages and Cultures,202307.0
"Johnson, Michael Pierre",The Innovation School,202184.0
"Churchill, David Christopher",Law,202116.0
"Seaman, Andrew Peter",School of Humanities,202084.0
"Hill, Tracey Elizabeth",School of Humanities,202048.0
"Gilmore, Charlotte Louise",Academic Development,202033.0
"Smith, Jos James","Literature, Drama and Creative Writing",202012.0
"Nevola, Fabrizio James",Architecture and Civil Engineering,201734.0
"Colpus, Eve Catherine",School of Humanities,201392.0
"Thomas, Emily Anne",Philosophy,201365.0
"Knight-Hill, Andrew Peter","Creative Prof. & Digital Arts, FACH",201306.0
"Roberts, Sean Geraint",School of Arts,201173.0
"Sutcliffe-Braithwaite, Florence Anne",History,200871.0
"Cresswell, Rosemary Beatrice",Histories,200711.0
"Mahlberg, Michaela Agnes",School of English,200437.0
"Sterling, Colin Philip",Institute of Archaeology,200110.0
"Harper-Scott, John Paul",Music,199853.0
"Hordern, Joshua William",Theology and Religion Faculty,199257.0
"Newton, Victoria Louise","Faculty of Wellbg, Educ & Lang Sci(WELS)",198964.0
"Purkis, William John",History and Cultures,198847.0
"Krause, Jonathan James",History Faculty,198809.0
"Bramwell, Richard John",Sch of Psychology Criminology Sociology,198732.0
"Webb, Nicholas James",Architecture,198646.0
"Prichard, Rebecca Sophie",Lancaster Inst for the Contemporary Arts,198371.0
"Hernández, Gleider Ignacio",Law,197697.0
"Goldhill, Simon D",Resrch in the Arts Soc Scs & Humanities,197659.0
"Jones, Justin Rhys",Theology and Religion Faculty,197449.0
"Gomez, Juan Carlos",Psychology,197041.0
"Elsenbroich, Corinna Julia",Sociology,196940.0
"Sermon, Paul Sylvester",School of Art,195616.0
"Gibson, Marion Heather",English,195380.0
"Wyatt, David Reginald","Sch of History, Archaeology & Religion",195008.0
"Hulme, Thomas Joseph","Sch of Hist, Anthrop, Philos & Politics",194983.0
"Spencer, Catherine Elizabeth",Sch of Art History,194785.0
"Kennedy, Chloë Jane",Sch of Law,194361.0
"Holden, Claire Helen",Music,193151.0
"Willis, David William",Linguistics,193122.0
"Skeates, Robin Gerald",Archaeology,192935.0
"Chodzko, Adam Alexander",Sch of Arts,192058.0
"Milsom, David John",Sch of Music,191913.0
"Gibb, Sophie Catherine",Philosophy,191050.0
"Robinson, David Wayne",Sch of Forensic and Investigative Sci,190916.0
"McDonald, Katherine Louise",Classics and Ancient History,190830.0
"Merchant, Paul Rumney",School of Modern Languages,190227.0
"Schneider, Tatjana Claudia",Architectural Studies,189452.0
"Jones, Ruth Louisa",Fac of Arts Creative Ind and Education,189373.0
"Lease, Bryce Salisbury",Drama and Theatre,189017.0
"Parrinder, John Patrick",English Literature,188901.0
"Local, John Knox",Language and Linguistic Science,188610.0
"Altehenger, Jennifer Elisabeth",History,188581.0
"van Besouw, Rachel Marijke",Faculty of Engineering & the Environment,188548.0
"Fuggle, Sophie Elisabeth",Sch of Arts and Humanities,188169.0
"Whiting, Daniel James",Faculty of Humanities,187838.0
"Kabir, Ananya Jahanara",School of English,187116.0
"Agius, Dionisius A.",Arab and Islamic Studies,187064.0
"Steele, Melanie Sarah",Graduate Office,186779.0
"Thomas, Sarah Elizabeth",History,186484.0
"Klinkner, Melanie Josefine",Faculty of Media and Communication,185750.0
"Carr, Indira Mahalingam",Business School,185717.0
"Sabiescu, Amalia Georgiana",Loughborough University in London,184963.0
"Black, Jonathan Andrew",Sch of Art and Design History,184924.0
"Whyton, Tony Robert",ADM Birmingham Sch of Media,184760.0
"Donahue, Randolph Edmund",Sch of Life Sciences,184681.0
"Houghton, Hugh Alexander",School of Philosophy Theology & Religion,183822.0
"Bickle, Penny Fiona",Archaeology,183728.0
"Williams, John Robert",Sch of Philosophy,183397.0
"Jones, Nicholas Kenneth",School of Philosophy Theology & Religion,180800.0
"Phillips, Martin Peter",Geography,180010.0
"Munro, Eileen Margaret",Ctr for Study of Phil & Natural Soc Sci,179548.0
"Hill, Christopher Robert",Faculty of Business and Society,178356.0
"Siewierska, Anna Maria",Linguistics and English Language,177601.0
"Bretherton, David Tom",School of Humanities,177422.0
"Dilley, Andrew Richard","School of Divinity, History and Philosop",177245.0
"Pooley, William George",School of Humanities,176847.0
"Hedges, Robert Ernest",Archaeology and History of Art Res Lab,176483.0
